"name","review","grade"
"장생건강원",73,5
"양국",137,4.5
"정식당",463,4.5
"뉴델리",99,5
"밍글스",175,4.5
"그랜드 키친",165,4.5
"셰프팔레트",54,5
"새마을 식당 논현 본점",185,4
"류니끄",132,4.5
"브루클린 더 버거 조인트 삼성점",70,4.5
"원조 쌈밥집 논현 본점",105,4
"도쿄등심 선릉점",32,4.5
"더 키친 살바토레 쿠오모",102,4
"채근담",41,4.5
"브래서리 - 인터콘티넨탈 서울 코엑스점",82,4.5
"멜팅샵",47,4.5
"더 팀버 하우스, 파크 하얏트 서울",52,4.5
"스쿨푸드 가로수길점",112,4
"권숙수",50,4.5
"페어링룸",61,4.5
"더 스퀘어",50,4.5
"뱃고동",42,4.5
"강남면옥",58,4
"코리아노스 키친",74,4
"원스인어블루문",68,4.5
"코너스톤, 파크 하얏트 서울",73,4
"브릭 오븐 뉴욕 피자",126,4
"단풍나무 집 강남역점",71,4
"슌미",40,4.5
"깐부 치킨 삼성점",38,4.5
"본가 논현본점",46,4.5
"필경재",67,4
"코코브루니",44,4.5
"울프강스테이크하우스코리아",74,4
"삼원 가든 본점",144,4
"숨카페",39,4.5
"매드포갈릭 강남점",72,4
"우래옥 강남점",50,4.5
"새벽집 청담점",105,4
"루나아시아",47,4
"보노보노 삼성동점",50,4
"테이블34",48,4.5
"코코이찌방야 강남점",47,4
"스시카이신",20,5
"임피리얼팰리스 패밀리아",29,4.5
"쉐이크쉑 강남점",108,4
"프로 간장 게장 삼성점",59,4
"꽃지",35,4.5
"스시 효",42,4.5
"마치래빗",33,4.5
"공차 강남역 글라스타워점",53,4
"깐부치킨 신사역점",37,4
"을밀대",85,4
"지아니스나폴리",40,4.5
"온 더 보더 코엑스 도심공항점",61,4
"토끼정",73,4
"바티센트",15,5
"셰막",34,4.5
"스카이 라운지",39,4
"갓덴스시",40,4.5
"앨리스 청담",36,4.5
"흑돈가 삼성역점",86,4
"장독대 김치찌개",46,4
"불독 펍",23,4.5
"한일관 영등포점",32,4.5
"버드나무집 역삼점",42,4.5
"포도식당 압구정점",27,4.5
"중앙해장",26,4.5
"사월에 보리밥 강남점",35,4
"투뿔 등심 논현2호점",26,4.5
"10꼬르소꼬모카페",31,4.5
"미사리 밀빛 초계국수 코엑스몰점",24,4.5
"아시안 라이브",35,4
"바이킹스 워프 - 코엑스점",22,4.5
"곰바위",30,4.5
"메드포갈릭 - 봉은사 아이파크타워점",46,4
"Slice",19,5
"압구정 미연",14,5
"김북순 큰남비집",33,4.5
"마끼노차야",37,4
"뉴욕 버거 앤 베이글",17,4.5
"더 큰집",21,4.5
"경천애인 2237",32,4.5
"한우리 한정식",35,4
"매드후라이치킨",23,4.5
"무등산",27,4
"블루밍가든강남점",28,4
"파이어벨 버거",23,4.5
"삼원가든 대치점",24,4.5
"미켈러바",20,4.5
"저스트 스테이크",22,4.5
"세광양대창 - 신사역가로수길점",10,5
"뱀부하우스",42,4
"붓쳐스컷 삼성점",22,4.5
"일일향",23,4.5
"더플레이스 코엑스몰점",22,4
"오발탄 역삼점",34,4
"톡톡",20,4.5
"스시선수",13,5
"더 라운지, 파크 하얏트 서울",21,4.5
"빌리엔젤케익컴퍼니",19,4
"곤트란쉐리에",22,4.5
"엘본 더 테이블 가로수길 본점",57,3.5
"에빗",10,5
"안뜨레",22,5
"케르반 터키쉬 레스토랑",71,4
"엘쁠라또 가로수길",21,4
"퀸스파크 청담점",41,4
"사월에 보리밥",18,4.5
"카페마마스",18,4.5
"하모",15,4.5
"베러댄비프",31,4
"메드포갈릭 압구정점",40,4
"메종 드 라 카테고리",16,4.5
"하동관 강남분점",31,4
"달빛술담",20,4.5
"마사 타코스",14,4.5
"기욤",27,4
"바나나트리",13,4.5
"망고식스",29,4
"평양면옥",16,4.5
"머그포래빗",17,4.5
"코나야",19,4.5
"공차",18,4.5
"르알래스카",20,4.5
"아웃백 강남점",23,4
"한정식 수담",19,4
"가온",29,4
"멘야산다이메 신사가로수길점",14,4.5
"반룡산",16,4.5
"고수닭갈비 강남점",17,4.5
"프리모바치오바치 강남점",16,4.5
"도사 바이 백승욱",15,4.5
"더블트러블",22,4.5
"Wooga",9,5
"아웃백 코엑스점",31,4
"삼원가든",20,4
"마켓오 압구정점",29,4
"팔일삼",12,4.5
"그랑 아 II",16,4.5
"브루클린더버거조인트",21,4
"코나빈스 압구정점",23,4
"오무라안",16,4.5
"에르메스 까페마당",20,4
"민스키친",13,4.5
"순남시래기 압구정점",13,4.5
"새마을식당 - 신사역점",12,4.5
"스페인클럽",29,4
"아비꼬 강남역점",19,4
"도쿄등심 압구정점",10,4.5
"일피아또",10,4.5
"라따블",20,4
"비스트로 드 욘트빌",19,4
"할스",9,5
"하동관 코엑스몰직영점",17,4
"포브라더스",12,4.5
"달식탁",26,4
"랩24",73,4.5
"아이해브어드림",15,4
"보름쇠",16,4
"속초 코다리 냉면",13,4.5
"한미리",31,4
"곰바위",18,4
"미미면가",18,4
"진진바라 강남점",19,4
"생어거스틴",15,4
"한신포차",32,4
"미스사이공",8,5
"부첼라 신사동점",18,4
"호무랑",12,4.5
"다운타우너 - 청담점",10,4.5
"농민백암왕순대",10,4.5
"목포집",14,4.5
"후터스 강남점",54,3.5
"리북집",11,4.5
"비스트로 서울",21,4
"하동관",10,4.5
"고디바",13,4
"삼다연",13,4.5
"롤링핀",9,4.5
"강강술래 역삼점",16,4
"그랑씨엘 도산점",12,4.5
"칠량",11,4.5
"합스카치",12,4.5
"백세주마을 삼성점",8,5
"광양불고기",12,4.5
"더 하우스 요한",7,5
"서브웨이",11,4.5
"마루가메제면",11,4.5
"대독장 삼성역점",7,4.5
"한추",30,3.5
"씨티 베이커리",17,4
"마르코 폴로",25,4
"제주몬트락 강남2호점",9,4.5
"노멀바이류니끄",9,4.5
"육전식당 4호점",12,4
"마누테라스",11,4.5
"백억하누",9,4.5
"테이스팅룸",11,4.5
"아웃백 도곡점",15,4.5
"르 브런쉭",12,4.5
"함지곱창",10,4
"에스프레사멘테 일리 삼성점",13,4
"대가방",15,4
"청담골",23,4
"장사랑",10,4.5
"남포면옥",17,4
"청담 영양센터",17,4
"투썸플레이스",12,4
"미엘",13,4
"피에프창 코엑스몰점",25,4
"테이스팅룸",10,4.5
"야키니쿠도라지",9,4.5
"더 플라잉 팬 화이트",14,4
"매드포갈릭",13,4
"루브리카",10,4.5
"평가옥 삼성점",15,4
"강강술래 청담점",10,4.5
"이로도리",13,4.5
"고디바",11,4
"마노디셰프",10,4.5
"놀부부대찌개",8,4.5
"아우어 베이커리",15,4
"일일향 - 압구정 본점",19,4
"망고 식스 압구정점",34,3.5
"두크렘",21,3.5
"레스쁘아 뒤 이부",26,4
"피양콩할마니",9,4.5
"갯벌의진주",11,4.5
"카페마마스",10,4
"아티제",12,4
"신선설농탕 청담점",10,4
"봉밀가",12,4.5
"연타발 압구정 본점",15,4
"강서면옥 압구정점",13,4
"마르쉐 무역센터점",19,4
"아비꼬 신사가로수길점",17,4
"김돈이",11,4
"세븐블레스",7,5
"한잔의추억",11,4
"부자피자",11,4.5
"오통영 이촌점",11,4.5
"킹콩스테이크",13,4
"금수복국 대치점",17,4
"뜨락",7,4.5
"배꼽집",7,4.5
"메이드 레스토랑",10,4.5
"대우식당",9,4.5
"하시",9,4.5
"브라더후드키친",16,4
"나즈드라비",11,4
"청국장과보리밥 청담점",13,4
"카토멘",9,4.5
"한일관",17,4
"백곰막걸리&양조장",7,4.5
"슬링 펍앤브런치",12,4.5
"마녀김밥",9,4
"치폴라로쏘 삼성점",14,4
"시추안하우스",12,4
"훌리오",8,4.5
"루프탑바이류니끄",6,5
"고센 청담점",22,4
"광양불고기본가",8,4.5
"신사소곱창",9,4
"돈수백 - 강남역직영점",7,4.5
"자연은맛있다",14,4
"하남돼지집",7,4.5
"레스토랑 핫이슈",19,4
"세종한우",7,4.5
"JS가든",8,4.5
"롯데리아",10,4.5
"정성한줄",8,4.5
"애란궁",6,4.5
"하코네",45,4.5
"뽕나무쟁이",6,4.5
"파리바게뜨",9,4.5
"죠스떡볶이",8,4.5
"하시",8,4.5
"한성 칼국수",7,4.5
"도치피자 강남점",19,4
"두끼",12,4
"명인등심 - 청담본점",7,4.5
"논현손칼국수",6,4.5
"부자피자",10,4
"그랜드 델리",5,5
"서래갈매기 강남점",8,4
"순남시래기",7,4.5
"램브라튼",6,4.5
"더스트릿",9,4
"진대감 논현점",9,4
"커피빈",6,4.5
"테이블스타",9,4
"브라운브레드",7,4.5
"리틀앤머치",7,4.5
"그릴파이브타코",7,4.5
"호수삼계탕",6,4.5
"하남돼지집",6,4.5
"백미당 - 압구정현대백화점",8,4
"맥도날드",8,4
"라미띠에",10,4.5
"알베르",9,4
"샤이바나 코엑스몰점",18,3.5
"애류헌",8,4.5
"그란구스또",6,5
"논골집 청담점",10,4
"외계인방앗간",7,4.5
"동해도 테헤란점",17,4
"마포숯불갈비",9,4
"해남천일관",7,4.5
"교촌치킨",6,4.5
"바르다김선생",6,4.5
"고요남",11,4
"레드 마블 하우스",9,4.5
"울프강스테이크하우스",10,4
"붓처스컷",15,4
"임프레션",4,5
"스시유",8,4.5
"뚜레쥬르",8,4.5
"신 마포 갈매기 가로수길점",12,4
"불이아 강남점",7,4.5
"양마니 청담점",12,4
"코나야 - 파르나스몰점",7,4.5
"오미가 신사점",7,4
"청국장과보리밥",7,4.5
"공차",6,4.5
"오가다 코엑스몰점",10,4
"진지방순대국",8,4
"미스터피자 역삼점",10,4
"팬아시아",11,4
"이치에",7,4.5
"쭈불앤쭈불",6,4.5
"파리바게뜨",9,4
"스시코우지",6,4.5
"앤티앤스",6,4.5
"깐부치킨",7,4.5
"청담이상",7,4
"모박사부대찌개",8,4
"일치프리아니",7,4.5
"신사연어",5,4.5
"피카",8,4
"폴바셋",5,5
"세시 셀라 압구정점",9,4
"명동관",5,4.5
"투썸플레이스",8,4
"이타카",4,5
"우제홍참치",4,5
"공차",7,4.5
"공차",6,4.5
"마노디셰프",7,4
"클라우드",8,4
"갓포아키",10,4
"레이지쿠오레",6,4.5
"남순남순대국",8,4.5
"마켓오 - 도곡점",6,4
"흑돈가",12,4
"피양옥",10,4
"연타발",12,4
"아웃백스테이크하우스 삼성점",25,3.5
"첨벙아구찜",7,4.5
"폴바셋 - 서울세관사거리점",6,4
"김돈이",5,4.5
"논현 삼계탕 영동점",6,4.5
"오븐에빠진닭",5,5
"빌리엔젤케익컴퍼니",5,4.5
"코너스톤",5,5
"알라프리마",8,4
"파리크라상",6,4.5
"핫스토리",7,4
